Name,City,Country Code,Days,Start,End
radii restaurant and bar melbourne,Melbourne,AU,0,0630,1030
radii restaurant and bar melbourne,Melbourne,AU,0,1800,0000
radii restaurant and bar melbourne,Melbourne,AU,1,0630,1030
radii restaurant and bar melbourne,Melbourne,AU,1,1800,0000
radii restaurant and bar melbourne,Melbourne,AU,2,0630,1030
radii restaurant and bar melbourne,Melbourne,AU,2,1800,0000
radii restaurant and bar melbourne,Melbourne,AU,3,0630,1030
radii restaurant and bar melbourne,Melbourne,AU,3,1800,0000
radii restaurant and bar melbourne,Melbourne,AU,4,0630,1030
radii restaurant and bar melbourne,Melbourne,AU,4,1800,0100
radii restaurant and bar melbourne,Melbourne,AU,5,0700,1100
radii restaurant and bar melbourne,Melbourne,AU,5,1800,0100
radii restaurant and bar melbourne,Melbourne,AU,6,0700,1100
