Name,City,Country Code,Days,Start,End
sak  melbourne,Melbourne,AU,0,1200,1500
sak  melbourne,Melbourne,AU,0,1730,2200
sak  melbourne,Melbourne,AU,1,1200,1500
sak  melbourne,Melbourne,AU,1,1730,2200
sak  melbourne,Melbourne,AU,2,1200,1500
sak  melbourne,Melbourne,AU,2,1730,2200
sak  melbourne,Melbourne,AU,3,1200,1500
sak  melbourne,Melbourne,AU,3,1730,2200
sak  melbourne,Melbourne,AU,4,1200,1500
sak  melbourne,Melbourne,AU,4,1730,2200
sak  melbourne,Melbourne,AU,5,1200,2200
sak  melbourne,Melbourne,AU,6,1200,2200
