Name,City,Country Code,Days,Start,End
shipleys sydney,Sydney,AU,0,0630,1030
shipleys sydney,Sydney,AU,0,1730,2200
shipleys sydney,Sydney,AU,1,0630,1030
shipleys sydney,Sydney,AU,1,1730,2200
shipleys sydney,Sydney,AU,2,0630,1030
shipleys sydney,Sydney,AU,2,1730,2200
shipleys sydney,Sydney,AU,3,0630,1030
shipleys sydney,Sydney,AU,3,1730,2200
shipleys sydney,Sydney,AU,4,0630,1030
shipleys sydney,Sydney,AU,4,1730,2200
shipleys sydney,Sydney,AU,5,0630,1030
shipleys sydney,Sydney,AU,5,1730,2200
shipleys sydney,Sydney,AU,6,0630,1030
shipleys sydney,Sydney,AU,6,1730,2200
