Name,City,Country Code,Days,Start,End
sakuratei japanese restaurant sydney,Sydney,AU,0,1130,1430
sakuratei japanese restaurant sydney,Sydney,AU,0,1800,2130
sakuratei japanese restaurant sydney,Sydney,AU,1,1130,1430
sakuratei japanese restaurant sydney,Sydney,AU,1,1800,2130
sakuratei japanese restaurant sydney,Sydney,AU,2,1130,1430
sakuratei japanese restaurant sydney,Sydney,AU,2,1800,2130
sakuratei japanese restaurant sydney,Sydney,AU,3,1130,1430
sakuratei japanese restaurant sydney,Sydney,AU,3,1800,2130
sakuratei japanese restaurant sydney,Sydney,AU,4,1130,1430
sakuratei japanese restaurant sydney,Sydney,AU,4,1800,2130
sakuratei japanese restaurant sydney,Sydney,AU,5,1800,2130
