Name,City,Country Code,Days,Start,End
burma lane melbourne,Melbourne,AU,0,1200,1500
burma lane melbourne,Melbourne,AU,0,1700,0000
burma lane melbourne,Melbourne,AU,1,1200,1500
burma lane melbourne,Melbourne,AU,1,1700,0000
burma lane melbourne,Melbourne,AU,2,1200,1500
burma lane melbourne,Melbourne,AU,2,1700,0000
burma lane melbourne,Melbourne,AU,3,1200,1500
burma lane melbourne,Melbourne,AU,3,1700,0000
burma lane melbourne,Melbourne,AU,4,1200,1500
burma lane melbourne,Melbourne,AU,4,1700,0000
burma lane melbourne,Melbourne,AU,5,1700,0000
