Name,City,Country Code,Days,Start,End
millioncino perth,Perth,AU,0,0700,1400
millioncino perth,Perth,AU,0,1730,2130
millioncino perth,Perth,AU,1,0700,1400
millioncino perth,Perth,AU,1,1730,2130
millioncino perth,Perth,AU,2,0700,1400
millioncino perth,Perth,AU,2,1730,2130
millioncino perth,Perth,AU,3,0700,1400
millioncino perth,Perth,AU,3,1730,2130
millioncino perth,Perth,AU,4,0700,1400
millioncino perth,Perth,AU,4,1730,2200
millioncino perth,Perth,AU,5,0800,1200
millioncino perth,Perth,AU,5,1730,2200
millioncino perth,Perth,AU,6,1730,2100
