Name,City,Country Code,Days,Start,End
prince palace chinese restaurant belconnen,Belconnen,AU,0,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,0,1730,2230
prince palace chinese restaurant belconnen,Belconnen,AU,1,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,1,1730,2230
prince palace chinese restaurant belconnen,Belconnen,AU,2,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,2,1730,2230
prince palace chinese restaurant belconnen,Belconnen,AU,3,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,3,1730,2230
prince palace chinese restaurant belconnen,Belconnen,AU,4,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,4,1730,0000
prince palace chinese restaurant belconnen,Belconnen,AU,5,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,5,1730,0000
prince palace chinese restaurant belconnen,Belconnen,AU,6,1130,1430
prince palace chinese restaurant belconnen,Belconnen,AU,6,1730,2230
