Name,City,Country Code,Days,Start,End
bellucis phillip,Phillip,AU,0,1200,1430
bellucis phillip,Phillip,AU,0,1800,0000
bellucis phillip,Phillip,AU,1,1200,1430
bellucis phillip,Phillip,AU,1,1800,0000
bellucis phillip,Phillip,AU,2,1200,1430
bellucis phillip,Phillip,AU,2,1800,0000
bellucis phillip,Phillip,AU,3,1200,1430
bellucis phillip,Phillip,AU,3,1800,0000
bellucis phillip,Phillip,AU,4,1200,1430
bellucis phillip,Phillip,AU,4,1800,0000
bellucis phillip,Phillip,AU,5,1730,0000
bellucis phillip,Phillip,AU,6,1800,0000
