Name,City,Country Code,Days,Start,End
nine dragons restaurant sydney,Sydney,AU,0,1100,1500
nine dragons restaurant sydney,Sydney,AU,0,1700,2300
nine dragons restaurant sydney,Sydney,AU,1,1100,1500
nine dragons restaurant sydney,Sydney,AU,1,1700,2300
nine dragons restaurant sydney,Sydney,AU,2,1100,1500
nine dragons restaurant sydney,Sydney,AU,2,1700,2300
nine dragons restaurant sydney,Sydney,AU,3,1100,1500
nine dragons restaurant sydney,Sydney,AU,3,1700,2300
nine dragons restaurant sydney,Sydney,AU,4,1100,1500
nine dragons restaurant sydney,Sydney,AU,4,1700,0000
nine dragons restaurant sydney,Sydney,AU,5,1100,1500
nine dragons restaurant sydney,Sydney,AU,5,1700,0000
nine dragons restaurant sydney,Sydney,AU,6,1030,1500
nine dragons restaurant sydney,Sydney,AU,6,1700,2200
