Name,City,Country Code,Days,Start,End
sakura kaiten melbourne,Melbourne,AU,0,1130,1500
sakura kaiten melbourne,Melbourne,AU,0,1700,2130
sakura kaiten melbourne,Melbourne,AU,1,1130,1500
sakura kaiten melbourne,Melbourne,AU,1,1700,2130
sakura kaiten melbourne,Melbourne,AU,2,1130,1500
sakura kaiten melbourne,Melbourne,AU,2,1700,2130
sakura kaiten melbourne,Melbourne,AU,3,1130,1500
sakura kaiten melbourne,Melbourne,AU,3,1700,2200
sakura kaiten melbourne,Melbourne,AU,4,1130,1500
sakura kaiten melbourne,Melbourne,AU,4,1700,2230
sakura kaiten melbourne,Melbourne,AU,5,1200,2230
