Name,City,Country Code,Days,Start,End
golden house chinese restaurant san jose,San Jose,US,0,1100,1430
golden house chinese restaurant san jose,San Jose,US,0,1630,2030
golden house chinese restaurant san jose,San Jose,US,1,1100,1430
golden house chinese restaurant san jose,San Jose,US,1,1630,2030
golden house chinese restaurant san jose,San Jose,US,2,1100,1430
golden house chinese restaurant san jose,San Jose,US,2,1630,2030
golden house chinese restaurant san jose,San Jose,US,3,1100,1430
golden house chinese restaurant san jose,San Jose,US,3,1630,2030
golden house chinese restaurant san jose,San Jose,US,4,1100,1430
golden house chinese restaurant san jose,San Jose,US,4,1630,2030
golden house chinese restaurant san jose,San Jose,US,5,1200,2030
golden house chinese restaurant san jose,San Jose,US,6,1200,2030
