Name,City,Country Code,Days,Start,End
izakaya mew new york,New York,US,0,1200,1445
izakaya mew new york,New York,US,0,1730,2300
izakaya mew new york,New York,US,1,1200,1445
izakaya mew new york,New York,US,1,1730,2300
izakaya mew new york,New York,US,2,1200,1445
izakaya mew new york,New York,US,2,1730,2300
izakaya mew new york,New York,US,3,1200,1445
izakaya mew new york,New York,US,3,1730,2300
izakaya mew new york,New York,US,4,1200,1445
izakaya mew new york,New York,US,4,1730,0000
izakaya mew new york,New York,US,5,1730,0000
izakaya mew new york,New York,US,6,1730,2200
