Name,City,Country Code,Days,Start,End
thai love you san jose,San Jose,US,0,1130,1500
thai love you san jose,San Jose,US,0,1700,2030
thai love you san jose,San Jose,US,1,1130,1500
thai love you san jose,San Jose,US,1,1700,2030
thai love you san jose,San Jose,US,2,1130,1500
thai love you san jose,San Jose,US,3,1700,2030
thai love you san jose,San Jose,US,4,1130,1500
thai love you san jose,San Jose,US,4,1700,2100
thai love you san jose,San Jose,US,5,1100,1500
thai love you san jose,San Jose,US,5,1700,2100
