Name,City,Country Code,Days,Start,End
tabard inn restaurant washington,Washington,US,0,0700,1000
tabard inn restaurant washington,Washington,US,0,1130,1430
tabard inn restaurant washington,Washington,US,0,1730,2130
tabard inn restaurant washington,Washington,US,1,0700,1000
tabard inn restaurant washington,Washington,US,1,1130,1430
tabard inn restaurant washington,Washington,US,1,1730,2130
tabard inn restaurant washington,Washington,US,2,0700,1000
tabard inn restaurant washington,Washington,US,2,1130,1430
tabard inn restaurant washington,Washington,US,2,1730,2130
tabard inn restaurant washington,Washington,US,3,0700,1000
tabard inn restaurant washington,Washington,US,3,1130,1430
tabard inn restaurant washington,Washington,US,3,1730,2200
tabard inn restaurant washington,Washington,US,4,0700,1000
tabard inn restaurant washington,Washington,US,4,1130,1430
tabard inn restaurant washington,Washington,US,4,1730,2200
tabard inn restaurant washington,Washington,US,5,0700,0900
tabard inn restaurant washington,Washington,US,5,1030,1430
tabard inn restaurant washington,Washington,US,5,1730,2200
tabard inn restaurant washington,Washington,US,6,0700,0900
tabard inn restaurant washington,Washington,US,6,1030,1430
tabard inn restaurant washington,Washington,US,6,1730,2130
