Name,City,Country Code,Days,Start,End
ryujin ramen brooklyn,Brooklyn,US,0,1200,1630
ryujin ramen brooklyn,Brooklyn,US,0,1730,2300
ryujin ramen brooklyn,Brooklyn,US,1,1200,1630
ryujin ramen brooklyn,Brooklyn,US,1,1730,2300
ryujin ramen brooklyn,Brooklyn,US,2,1200,1630
ryujin ramen brooklyn,Brooklyn,US,2,1730,2300
ryujin ramen brooklyn,Brooklyn,US,3,1200,1630
ryujin ramen brooklyn,Brooklyn,US,3,1730,2300
ryujin ramen brooklyn,Brooklyn,US,4,1200,1630
ryujin ramen brooklyn,Brooklyn,US,4,1730,0000
ryujin ramen brooklyn,Brooklyn,US,5,1200,1630
ryujin ramen brooklyn,Brooklyn,US,5,1730,0000
ryujin ramen brooklyn,Brooklyn,US,6,1200,1630
ryujin ramen brooklyn,Brooklyn,US,6,1730,2200
