Name,City,Country Code,Days,Start,End
osaka ramen denver,Denver,US,0,1100,1400
osaka ramen denver,Denver,US,0,1700,2100
osaka ramen denver,Denver,US,1,1100,1400
osaka ramen denver,Denver,US,1,1700,2100
osaka ramen denver,Denver,US,2,1100,1400
osaka ramen denver,Denver,US,2,1700,2100
osaka ramen denver,Denver,US,3,1100,1400
osaka ramen denver,Denver,US,3,1700,2100
osaka ramen denver,Denver,US,4,1100,1400
osaka ramen denver,Denver,US,4,1700,2200
osaka ramen denver,Denver,US,5,1700,2200
osaka ramen denver,Denver,US,6,1700,2100
