Name,City,Country Code,Days,Start,End
almaden sushi san jose,San Jose,US,0,1100,1400
almaden sushi san jose,San Jose,US,0,1700,2130
almaden sushi san jose,San Jose,US,1,1100,1400
almaden sushi san jose,San Jose,US,1,1700,2130
almaden sushi san jose,San Jose,US,2,1100,1400
almaden sushi san jose,San Jose,US,2,1700,2130
almaden sushi san jose,San Jose,US,3,1100,1400
almaden sushi san jose,San Jose,US,3,1700,2130
almaden sushi san jose,San Jose,US,4,1100,1400
almaden sushi san jose,San Jose,US,4,1700,2200
almaden sushi san jose,San Jose,US,5,1100,1400
almaden sushi san jose,San Jose,US,5,1700,2200
