Name,City,Country Code,Days,Start,End
izakaya wa houston,Houston,US,1,1130,1400
izakaya wa houston,Houston,US,1,1730,2200
izakaya wa houston,Houston,US,2,1130,1400
izakaya wa houston,Houston,US,2,1730,2200
izakaya wa houston,Houston,US,3,1130,1400
izakaya wa houston,Houston,US,3,1730,2200
izakaya wa houston,Houston,US,4,1130,1400
izakaya wa houston,Houston,US,4,1730,2300
izakaya wa houston,Houston,US,5,1130,1400
izakaya wa houston,Houston,US,5,1730,2300
izakaya wa houston,Houston,US,6,1700,2100
