Name,City,Country Code,Days,Start,End
pappas bar b q houston,Houston,US,0,0630,1000
pappas bar b q houston,Houston,US,0,1030,2200
pappas bar b q houston,Houston,US,1,0630,1000
pappas bar b q houston,Houston,US,1,1030,2200
pappas bar b q houston,Houston,US,2,0630,1000
pappas bar b q houston,Houston,US,2,1030,2200
pappas bar b q houston,Houston,US,3,0630,1000
pappas bar b q houston,Houston,US,3,1030,2200
pappas bar b q houston,Houston,US,4,0630,1000
pappas bar b q houston,Houston,US,4,1030,2230
pappas bar b q houston,Houston,US,5,0700,1000
pappas bar b q houston,Houston,US,5,1030,2230
pappas bar b q houston,Houston,US,6,1100,2100
