Name,City,Country Code,Days,Start,End
scollay square boston,Boston,US,0,1200,1400
scollay square boston,Boston,US,0,1700,2100
scollay square boston,Boston,US,1,1200,1400
scollay square boston,Boston,US,1,1700,2100
scollay square boston,Boston,US,2,1200,1400
scollay square boston,Boston,US,2,1700,2100
scollay square boston,Boston,US,3,1200,1400
scollay square boston,Boston,US,3,1700,2200
scollay square boston,Boston,US,4,1200,1400
scollay square boston,Boston,US,4,1700,2200
scollay square boston,Boston,US,5,1100,2200
scollay square boston,Boston,US,6,1000,2100
