Name,City,Country Code,Days,Start,End
fuji huoshao and dumpling san jose,San Jose,US,1,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,1,1630,2100
fuji huoshao and dumpling san jose,San Jose,US,2,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,2,1630,2100
fuji huoshao and dumpling san jose,San Jose,US,3,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,3,1630,2100
fuji huoshao and dumpling san jose,San Jose,US,4,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,4,1630,2100
fuji huoshao and dumpling san jose,San Jose,US,5,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,5,1630,2100
fuji huoshao and dumpling san jose,San Jose,US,6,1030,1430
fuji huoshao and dumpling san jose,San Jose,US,6,1630,2100
