Name,City,Country Code,Days,Start,End
el chal n washington,Washington,US,0,1130,1500
el chal n washington,Washington,US,0,1730,2200
el chal n washington,Washington,US,1,1130,1500
el chal n washington,Washington,US,1,1730,2200
el chal n washington,Washington,US,2,1130,1500
el chal n washington,Washington,US,2,1730,2200
el chal n washington,Washington,US,3,1130,1500
el chal n washington,Washington,US,3,1730,2200
el chal n washington,Washington,US,4,1130,1500
el chal n washington,Washington,US,4,1730,2200
el chal n washington,Washington,US,5,1300,2200
