Name,City,Country Code,Days,Start,End
pho     birmingham,Birmingham,US,0,1630,2100
pho     birmingham,Birmingham,US,1,1100,1430
pho     birmingham,Birmingham,US,1,1630,2100
pho     birmingham,Birmingham,US,2,1100,1430
pho     birmingham,Birmingham,US,2,1630,2100
pho     birmingham,Birmingham,US,3,1100,1430
pho     birmingham,Birmingham,US,3,1630,2100
pho     birmingham,Birmingham,US,4,1100,1430
pho     birmingham,Birmingham,US,4,1630,2130
pho     birmingham,Birmingham,US,5,1100,2130
pho     birmingham,Birmingham,US,6,1100,2100
