Name,City,Country Code,Days,Start,End
the dairy london,London,GB,1,1800,2200
the dairy london,London,GB,2,1200,1500
the dairy london,London,GB,2,1800,2200
the dairy london,London,GB,3,1200,1500
the dairy london,London,GB,3,1800,2200
the dairy london,London,GB,4,1200,1500
the dairy london,London,GB,4,1800,2200
the dairy london,London,GB,5,1000,1500
the dairy london,London,GB,5,1800,2200
the dairy london,London,GB,6,1000,1500
