Name,City,Country Code,Days,Start,End
bar italia liverpool,Liverpool,GB,0,1130,1500
bar italia liverpool,Liverpool,GB,1,1130,1500
bar italia liverpool,Liverpool,GB,1,1730,2300
bar italia liverpool,Liverpool,GB,2,1130,1500
bar italia liverpool,Liverpool,GB,2,1730,2300
bar italia liverpool,Liverpool,GB,3,1130,1500
bar italia liverpool,Liverpool,GB,3,1730,2300
bar italia liverpool,Liverpool,GB,4,1130,1500
bar italia liverpool,Liverpool,GB,4,1730,2300
bar italia liverpool,Liverpool,GB,5,1130,1500
bar italia liverpool,Liverpool,GB,5,1730,2300
