Name,City,Country Code,Days,Start,End
st john bar and restaurant london,London,GB,0,1200,1700
st john bar and restaurant london,London,GB,0,1800,0000
st john bar and restaurant london,London,GB,1,1200,1700
st john bar and restaurant london,London,GB,1,1800,0000
st john bar and restaurant london,London,GB,2,1200,1700
st john bar and restaurant london,London,GB,2,1800,0000
st john bar and restaurant london,London,GB,3,1200,1700
st john bar and restaurant london,London,GB,3,1800,0000
st john bar and restaurant london,London,GB,4,1200,1700
st john bar and restaurant london,London,GB,4,1800,0000
st john bar and restaurant london,London,GB,5,1800,0000
st john bar and restaurant london,London,GB,6,1230,1600
