Name,City,Country Code,Days,Start,End
frontline restaurant london,London,GB,0,1200,1600
frontline restaurant london,London,GB,0,1730,2300
frontline restaurant london,London,GB,1,1200,1600
frontline restaurant london,London,GB,1,1730,2300
frontline restaurant london,London,GB,2,1200,1600
frontline restaurant london,London,GB,2,1730,2300
frontline restaurant london,London,GB,3,1200,1600
frontline restaurant london,London,GB,3,1730,2300
frontline restaurant london,London,GB,4,1200,1600
frontline restaurant london,London,GB,4,1730,2300
frontline restaurant london,London,GB,5,1800,2300
