Name,City,Country Code,Days,Start,End
eastern diner liverpool,Liverpool,GB,0,1200,1430
eastern diner liverpool,Liverpool,GB,0,1730,2330
eastern diner liverpool,Liverpool,GB,1,1200,1430
eastern diner liverpool,Liverpool,GB,1,1730,2330
eastern diner liverpool,Liverpool,GB,2,1200,1430
eastern diner liverpool,Liverpool,GB,2,1730,2330
eastern diner liverpool,Liverpool,GB,3,1200,1430
eastern diner liverpool,Liverpool,GB,3,1730,2330
eastern diner liverpool,Liverpool,GB,4,1200,1430
eastern diner liverpool,Liverpool,GB,4,1730,0000
eastern diner liverpool,Liverpool,GB,5,1200,1430
eastern diner liverpool,Liverpool,GB,5,1730,0000
eastern diner liverpool,Liverpool,GB,6,1200,2330
