Name,City,Country Code,Days,Start,End
jin kichi london,London,GB,1,1230,1400
jin kichi london,London,GB,1,1800,2300
jin kichi london,London,GB,2,1230,1400
jin kichi london,London,GB,2,1800,2300
jin kichi london,London,GB,3,1230,1400
jin kichi london,London,GB,3,1800,2300
jin kichi london,London,GB,4,1230,1400
jin kichi london,London,GB,4,1800,2300
jin kichi london,London,GB,5,1230,1400
jin kichi london,London,GB,5,1800,2300
jin kichi london,London,GB,6,1230,1400
jin kichi london,London,GB,6,1800,2200
